code,term,system,codelist
K282,Gastrojejunal ulcer ;  Acute with both haemorrhage and perforation,ICD,bleeding_hasbled
K284,Gastrojejunal ulcer ;  Chronic or unspecified with haemorrhage,ICD,bleeding_hasbled
K286,Gastrojejunal ulcer ;  Chronic or unspecified with both haemorrhage and perforation,ICD,bleeding_hasbled
K290,Acute haemorrhagic gastritis,ICD,bleeding_hasbled
K661,Haemoperitoneum,ICD,bleeding_hasbled
K920,Haematemesis,ICD,bleeding_hasbled
I61,Intracerebral haemorrhage,ICD,bleeding_hasbled
I610,"Intracerebral haemorrhage in hemisphere, subcortical",ICD,bleeding_hasbled
I611,"Intracerebral haemorrhage in hemisphere, cortical",ICD,bleeding_hasbled
I612,"Intracerebral haemorrhage in hemisphere, unspecified",ICD,bleeding_hasbled
I613,Intracerebral haemorrhage in brain stem,ICD,bleeding_hasbled
I614,Intracerebral haemorrhage in cerebellum,ICD,bleeding_hasbled
I615,"Intracerebral haemorrhage, intraventricular",ICD,bleeding_hasbled
I616,"Intracerebral haemorrhage, multiple localized",ICD,bleeding_hasbled
I618,Other intracerebral haemorrhage,ICD,bleeding_hasbled
I619,"Intracerebral haemorrhage, unspecified",ICD,bleeding_hasbled
I60,Subarachnoid haemorrhage,ICD,bleeding_hasbled
I600,Subarachnoid haemorrhage from carotid siphon and bifurcation,ICD,bleeding_hasbled
I601,Subarachnoid haemorrhage from middle cerebral artery,ICD,bleeding_hasbled
I602,Subarachnoid haemorrhage from anterior communicating artery,ICD,bleeding_hasbled
I603,Subarachnoid haemorrhage from posterior communicating artery,ICD,bleeding_hasbled
I604,Subarachnoid haemorrhage from basilar artery,ICD,bleeding_hasbled
I605,Subarachnoid haemorrhage from vertebral artery,ICD,bleeding_hasbled
I606,Subarachnoid haemorrhage from other intracranial arteries,ICD,bleeding_hasbled
I607,"Subarachnoid haemorrhage from intracranial artery, unspecified",ICD,bleeding_hasbled
I608,Other subarachnoid haemorrhage,ICD,bleeding_hasbled
I609,"Subarachnoid haemorrhage, unspecified",ICD,bleeding_hasbled
I62,Other nontraumatic intracranial haemorrhage,ICD,bleeding_hasbled
I620,Subdural haemorrhage (acute)(nontraumatic),ICD,bleeding_hasbled
I621,Nontraumatic extradural haemorrhage,ICD,bleeding_hasbled
I629,"Intracranial haemorrhage (nontraumatic), unspecified",ICD,bleeding_hasbled
S064,Epidural haemorrhage,ICD,bleeding_hasbled
R233,Spontaneous ecchymoses,ICD,bleeding_hasbled
R58,"Haemorrhage, not elsewhere classified",ICD,bleeding_hasbled
R58X,"Haemorrhage, not elsewhere classified",ICD,bleeding_hasbled
T81,Haemorrhage and haematoma complicating a procedure NEC,ICD,bleeding_hasbled
H313,Choroidal haemorrhage and rupture,ICD,bleeding_hasbled
H356,Retinal haemorrhage,ICD,bleeding_hasbled
H431,Vitreous haemorrhage,ICD,bleeding_hasbled
H450,Vitreous haemorrhage in diseases classified elsewhere,ICD,bleeding_hasbled
J942,Haemothorax,ICD,bleeding_hasbled
R040,Epistaxis,ICD,bleeding_hasbled
R041,Haemorrhage from throat,ICD,bleeding_hasbled
R042,Haemoptysis,ICD,bleeding_hasbled
R048,Haemorrhage from other sites in respiratory passages,ICD,bleeding_hasbled
R049,"Haemorrhage from respiratory passages, unspecified",ICD,bleeding_hasbled
